V1,V2
KCNG3,1.047532729
TNNT3,1.047019864
CAV1,1.046884233
CDH7,1.046856557
PAMR1,1.046293968
FBN2,1.045407147
KCNE4,1.044679111
IL20,1.044277274
TNS1,1.043811419
HJURP,1.043478231
SMIM32,1.042302974
PGBD5,1.042270441
CEP55,1.042262802
DRC7,1.042126215
PRR4,1.041726949
DIPK1C,1.041243577
ASF1B,1.040096912
GFY,1.03989366
SYT10,1.039063205
IGFALS,1.038455176
UHRF1,1.038433126
CCDC78,1.037947332
FOXH1,1.0378586
MRGPRD,1.036795157
NDP,1.03629218
ACACB,1.035877391
CCNB2,1.035854106
SPAG6,1.034632711
KCNK7,1.034162848
C19orf33,1.033150982
GSTA3,1.032499239
KNG1,1.032496553
APOBEC1,1.031851891
GABRD,1.031676741
MAGEC1,1.031553798
CAV3,1.030720333
SMCO1,1.030634572
MTFR2,1.030542193
SLC7A10,1.02997074
CDH10,1.029963459
NKX2-3,1.029033722
PCLAF,1.028534724
EXO1,1.028481369
PDE3B,1.028288929
TEDC2,1.028177174
DYDC1,1.026997682
PADI1,1.026913385
GHRH,1.026561684
H2BC7,1.025886756
APOBEC3B,1.025557415
DIO1,1.02296393
LHCGR,1.022807739
MAGEB1,1.021464625
TMPRSS4,1.020756855
FAM83A,1.020615717
TK1,1.020474712
MUC21,1.019675634
PBK,1.018192768
SNAP25,1.017977061
SLCO1B3,1.017749794
ZNF695,1.017024925
BCHE,1.016812648
PRC1,1.016342035
RPL10L,1.016188585
SMIM6,1.015197762
PAQR4,1.014722652
KIF18B,1.01461893
NGB,1.014139117
RBPJL,1.013210062
TNXB,1.011601303
GLYATL3,1.01003171
C20orf204,1.009696978
CHRM4,1.008639204
MATN3,1.008467216
E2F1,1.007438729
COL22A1,1.006481136
CCDC151,1.006041902
ZNF723,1.005943449
TSLP,1.00550379
FAM181B,1.004947342
H2BC18,1.004790845
BARX1,1.004660124
NKX3-2,1.004256135
MUC13,1.003852367
ALDH1L1,1.003374137
SALL4,1.003247729
PROZ,1.002546137
UBE2S,1.002474415
CALY,1.002268691
FREM3,1.001376758
UGT2B10,1.000773462
LY6H,0.999238579
TNIP3,0.99913217
SMC1B,0.998305113
KIR2DL1,0.998171533
RGR,0.997991331
ARHGAP20,0.997533072
CPA4,0.997299526
HS6ST3,0.997135451
ASB2,0.99710285
OTOP3,0.99701207
ACMSD,0.995358869
C5orf38,0.995347922
SLC22A12,0.995226582
KRTAP3-2,0.995044974
NKX1-2,0.994919981
